llava_base,llava_7ep,gpt,gen_pop
10.0,0.0,100.0,85.2
90.0,100.0,100.0,78.7
0.0,20.0,100.0,86.1
100.0,100.0,100.0,73.0
100.0,100.0,100.0,77.0
0.0,0.0,0.0,80.3
100.0,100.0,100.0,68.0
100.0,100.0,0.0,67.2
50.0,100.0,100.0,77.0
50.0,100.0,100.0,73.0
10.0,40.0,100.0,68.0
100.0,100.0,100.0,87.7
0.0,0.0,100.0,69.7
50.0,100.0,100.0,80.3
100.0,100.0,100.0,69.7
70.0,0.0,100.0,77.0
0.0,100.0,100.0,65.6
50.0,0.0,100.0,58.2
100.0,100.0,100.0,69.7
0.0,80.0,100.0,88.5
0.0,0.0,0.0,73.8
50.0,0.0,100.0,79.5
0.0,0.0,0.0,77.9
100.0,100.0,100.0,73.8
20.0,0.0,100.0,71.3
0.0,0.0,0.0,65.6
50.0,20.0,100.0,65.6
40.0,100.0,100.0,66.4
100.0,100.0,100.0,77.9
50.0,80.0,100.0,91.0
100.0,80.0,100.0,51.6
50.0,20.0,100.0,50.0
100.0,100.0,100.0,58.2
0.0,100.0,100.0,77.0
0.0,0.0,0.0,65.6
100.0,100.0,100.0,76.2
